mue,lambda,delta,n_gens,solution,quality
2,4,1,2,,26.8566422502157
2,4,1,4,,52.105035071818
2,4,1,16,,9.33280107809442
2,4,1,64,,2.47761734154061
2,4,1,128,,1.15905553707055
2,4,2,2,,11.011879879585
2,4,2,4,,23.7399241266226
2,4,2,16,,7.54481348603572
2,4,2,64,,6.57743355173415
2,4,2,128,,2.31784074653828
2,4,3,2,,7.34323945586846
2,4,3,4,,25.7636316628789
2,4,3,16,,34.9797690398827
2,4,3,64,,8.84666450019503
2,4,3,128,,2.6861954351033
2,4,5,2,,43.6544094896015
2,4,5,4,,14.61547168473
2,4,5,16,,4.33258485215313
2,4,5,64,,5.9295359132154
2,4,5,128,,0.502243352787115
2,4,10,2,,14.3542537320007
2,4,10,4,,13.6712866857576
2,4,10,16,,7.57924529764901
2,4,10,64,,4.33258485215313
2,4,10,128,,10.908447862202
4,8,1,2,,13.450754066378
4,8,1,4,,39.9335137833483
4,8,1,16,,1.06800281175322
4,8,1,64,,1.41908793526527
4,8,1,128,,3.09847407186937
4,8,2,2,,20.6934038053896
4,8,2,4,,9.97944574355356
4,8,2,16,,10.6360383600728
4,8,2,64,,1.94214148274036
4,8,2,128,,1.60942067929293
4,8,3,2,,30.2933668111932
4,8,3,4,,8.39970625959421
4,8,3,16,,2.88472209468183
4,8,3,64,,5.62058784438869
4,8,3,128,,1.58811518294145
4,8,5,2,,11.0696051480341
4,8,5,4,,12.9419657341538
4,8,5,16,,13.2121611718576
4,8,5,64,,2.95278201043102
4,8,5,128,,0.292563334810638
4,8,10,2,,7.74494084070036
4,8,10,4,,1.91358741806152
4,8,10,16,,3.46023845052069
4,8,10,64,,9.08430207891483
4,8,10,128,,0.0215701142315155
8,16,1,2,,8.67256699761417
8,16,1,4,,5.07398287154979
8,16,1,16,,10.1107648048886
8,16,1,64,,2.16903601767351
8,16,1,128,,0.502243352787115
8,16,2,2,,38.4726763683584
8,16,2,4,,5.16078480124402
8,16,2,16,,2.21240444786903
8,16,2,64,,0.504121665403451
8,16,2,128,,2.73895309276319
8,16,3,2,,6.09677054346687
8,16,3,4,,18.9177963432919
8,16,3,16,,2.8415198172889
8,16,3,64,,3.72250434805619
8,16,3,128,,1.36755676923382
8,16,5,2,,14.7593298332551
8,16,5,4,,17.6227453357386
8,16,5,16,,5.47135926662169
8,16,5,64,,3.54342891636101
8,16,5,128,,0.894564977526695
8,16,10,2,,24.6007678861455
8,16,10,4,,4.16129693869814
8,16,10,16,,3.25478988231297
8,16,10,64,,1.98353826831248
8,16,10,128,,1.44121822568378
16,32,1,2,,2.31941966491519
16,32,1,4,,10.5053162202772
16,32,1,16,,1.05978973988932
16,32,1,64,,0.0215701142315155
16,32,1,128,,1.18537591679477
16,32,2,2,,8.77014791259228
16,32,2,4,,4.35290411956827
16,32,2,16,,0.856114473616631
16,32,2,64,,2.20174551953915
16,32,2,128,,0.499947222002205
16,32,3,2,,8.58950692459868
16,32,3,4,,4.46163043647497
16,32,3,16,,0.846371508009078
16,32,3,64,,0.992251463732104
16,32,3,128,,2.34312688834216
16,32,5,2,,11.9225620094402
16,32,5,4,,6.58483795807574
16,32,5,16,,2.3088308600618
16,32,5,64,,1.04231840882847
16,32,5,128,,1.5920689201768
16,32,10,2,,18.9575725729873
16,32,10,4,,5.64430302029977
16,32,10,16,,4.19414771670561
16,32,10,64,,3.98653671515338
16,32,10,128,,1.12573094564085
32,64,1,2,,2.82898377064912
32,64,1,4,,4.07092741126209
32,64,1,16,,0.0215701142315155
32,64,1,64,,0.469901630028643
32,64,1,128,,0.546380586394623
32,64,2,2,,6.61278900527827
32,64,2,4,,0.814068890326561
32,64,2,16,,0.502243352787115
32,64,2,64,,0.444359583323041
32,64,2,128,,0.143763679639798
32,64,3,2,,0.981314598663489
32,64,3,4,,2.28858847802462
32,64,3,16,,0.795691980971611
32,64,3,64,,0.502243352787115
32,64,3,128,,0.502243352787115
32,64,5,2,,9.41015901760692
32,64,5,4,,2.10022378209056
32,64,5,16,,0.686081805115739
32,64,5,64,,1.19920303392813
32,64,5,128,,0.712028862344285
32,64,10,2,,11.5218787899959
32,64,10,4,,3.75201692485414
32,64,10,16,,2.63883757161066
32,64,10,64,,4.23872831052704
32,64,10,128,,1.39211075003698
